,Game title,Release date,Price,Discount price,User review,Platform,Tag
0,No Man's Sky,"12 Aug, 2016",26500.0,13250.0,0.0,1,Indie
1,Overcooked! 2,"7 Aug, 2018",12990.0,7794.0,1.0,7,Indie
2,Human: Fall Flat,"22 Jul, 2016",7500.0,3000.0,1.0,3,Indie
3,Green Hell,"5 Sep, 2019",9500.0,7125.0,1.0,1,Indie
4,DRONE The Game,"17 Dec, 2018",11500.0,1840.0,1.0,1,Indie
5,Overcooked! 2  - Gourmet Edition,,24990.0,12756.0,1.0,7,Indie
6,Untitled Goose Game,"23 Sep, 2020",7700.0,5775.0,1.0,3,Indie
7,Muse Dash,"19 Jun, 2019",1700.0,850.0,1.0,3,Indie
8,Mount & Blade: Warband,"31 Mar, 2010",9999.0,2499.0,1.0,7,Indie
9,Muse Dash - Just as planned,"19 Jun, 2019",18500.0,13875.0,1.0,3,Indie
10, Sands of Salzaar,"2 Jan, 2020",6400.0,3840.0,1.0,1,Indie
11,Supergiant Collection,,48900.0,18980.0,1.0,1,Indie
12,My Time At Portia,"15 Jan, 2019",14990.0,5996.0,1.0,1,Indie
13,Overcooked,"3 Aug, 2016",8800.0,2200.0,1.0,1,Indie
14,Tainted Grail,"18 Jun, 2020",9500.0,7125.0,1.0,1,Indie
15,The Warlord package,,39899.0,26419.0,1.0,1,Indie
16,Train Station Renovation,"1 Oct, 2020",6400.0,5120.0,1.0,1,Indie
17,Crashlands,"21 Jan, 2016",6400.0,1600.0,1.0,1,Indie
18,Ultimate VR Stealth Bundle,,45200.0,18170.0,1.0,1,Indie
19,Darksburg,"23 Sep, 2020",7700.0,3850.0,1.0,1,Indie
20,Pyre,"25 Jul, 2017",7700.0,2310.0,1.0,7,Indie
21,Mysteria ~Occult Shadows~,"29 Sep, 2020",5700.0,4560.0,1.0,1,Indie
22,Ultimate Admiral: Age of Sail,"4 Mar, 2020",14900.0,11175.0,1.0,1,Indie
23,Mount & Blade Legacy Collection,,32495.0,6495.0,1.0,1,Indie
24,Tank Mechanic Simulator,"20 Feb, 2020",7700.0,4620.0,1.0,3,Indie
25,Dreamscaper,"13 Aug, 2020",4900.0,3920.0,1.0,1,Indie
26,The Jackbox Party Pack 7,"15 Oct, 2020",11500.0,10350.0,,7,Indie
27,Budget Cuts 2: Mission Insolvency,"12 Dec, 2019",11500.0,7705.0,1.0,1,Indie
28,Budget Cuts,"14 Jun, 2018",11500.0,7705.0,1.0,1,Indie
29,Overcooked: Gourmet Edition,,11800.0,2821.0,1.0,1,Indie
30,Amnesia: Rebirth,"20 Oct, 2020",11500.0,10350.0,,7,Indie
31,Transistor,"20 May, 2014",7700.0,1540.0,1.0,7,Indie
